total_hold_weight,vote_count,voter_address
0.0,1,0xd445f660be8f01e5a9dec99cce24f5caae3b7d90
0.0,1,0xe43fa8eb0d2db6877a857f757b93edbb444b43ac
0.0,3,0xb10717426a70f42cd564bd8ea7bc65580b3af99e
0.0,1,0xed56aef509b93065d9752fd7416dbf83865936a7
0.0,1,0x3c325dfeafac6f08db973e7dfd6e25490ae00af1
0.0,1,0x4906e7b6ab96b3422e4b919922f1324ecf325ab3
0.0,1,0x34626794bca35e9aa2bc3abfad6c3128a845906d
0.0,1,0x6da99163178845e3e552ac0c593b5b3c32915141
0.0,1,0x0f8f024ba552bc84873a1ef69dcb1cad73445e85
1.5492904000000002e-12,1,0x819f5d1e307b92531100cb8e01b003167f5f70fc
0.0001632180319083512,2,0xaa5ffdb86a293ae64131f368cb3d2386380ee5b8
0.0015348319130290907,3,0x89a8ba5e1aa54476a539eaa0ce321763434a6034
0.0015693608422911454,1,0x991d2842e57464d3b538767c1dd8c15dec65f0ea
0.0816157856210937,1,0xbffea8bbd22f63d08d0bd88a6a582d240e871559
0.0816157856210937,1,0x26e1561d44df953b132b942e3bff4c9afa3d5759
0.2,1,0xccd86b0c06f97b621e6bf7ab191ed44818bf837a
0.23114300000000002,4,0xce98636628fe5368beac1c581164ebe2ac76503a
0.264707938335462,3,0x13b0d33acce3826405a524e95ef176efe38576e8
0.27849582215678553,1,0x5268b4207117a9130b0c6aa469a00e09c72a71d3
0.371760000030327,1,0x2083370bcf334d50ca7c6e06e969481365b92e21
0.4572854229800367,3,0x9891be2e4e8ffa295d9cbd146c6973e8e7b6cc58
0.4940518795356281,1,0x185bddd216b1344781c2b1a62b565dcad25a79a4
2.198668351448308,1,0xce1301ccd4ddf413105f95a66c178766acbc0f13
2.251745635022729,2,0x8179c42ddb788e51128f2f6672b5466458291e05
2.3842649999999996,3,0xcc72ffa1f471360dc6964fe6b9e2907d7ca55c28
2.3996519519088664,1,0xdaf281b5de0bd81bb6e2d93eb03c17cab1e92b8f
2.86546,2,0xfbdbfe54b645a4d6c85e0401fd140efd5854d580
3.672366411150218,1,0xf4bff4fafce6bb93eaeab4c5eded3ea681250d5e
5.586223033545318,1,0xcc10683322fbc43e227aa87204090072fe131b1e
5.635526824030866,1,0x5252b69960422f3ed145d799c4026ca58e558ac3
6.822352652705791,1,0x87ac0ee9bd892e17b32daeeba845bfb64c26873f
8.026780663396403,1,0x91d14e4048ddce19175688c1d9f6b2c79c8fe76c
