dao_balance,voter_address
46241.84773194581,0x0a0f04a231efbc29e1db7d086300ff550211c2f6
32000.0,0x5ef657ed3ac4b1fbd2cd38a3cf630535d9d30f39
17694.868783014717,0x7b23e38fbd0e677a1d1f72fe29a1aea9fd83ade8
12639.92538883939,0x71565a8f2eb4ec38f9e9b716a9aa734431c96d7f
11002.535626268602,0xc0ddbaaeed6fc3e2f4f4efa5778383b0e356621e
10000.00637063451,0x9f16bbe53cd85e44d5e83caf7421316f7e81c8cf
7290.4162772,0x3af92364c9d2f4ba6436c905e56f160927a080ab
5665.538233702521,0x4faa92fa62777854602897724efc8fc004b533e3
5002.3815185800595,0xb72ed8401892466ea8af528c1af1d0524bc5e105
4677.868004786107,0x159dda55ab7b74c13be4e1616c276d87b387d630
3531.8351960118775,0xb79294d00848a3a4c00c22d9367f19b4280689d7
3250.0,0xa7f63376169ccc087eb1160e62ceccb146c1d555
3074.9352518986007,0x901e6ffbdd23d65e0426c492cad48a7169458ac8
2952.8151955948606,0xc29fc038cd055842d466281f609c319bde595017
2678.180268,0x894454ecc032d50e12c5a9164b79c39a237df8c6
2537.9832670369055,0x48a9789428f2067338d02b1ef3612df64f05feb7
2459.4221515284567,0x13bdae8c5f0fc40231f0e6a4ad70196f59138548
1772.2997054505397,0x2bf063401290b88b67e6aad60f59dae4a3739b04
1315.0603218883525,0xb10096c495d62d2b6b4ceb3e13f72389625873fc
1281.026181343093,0x09737eec05ab50fd2d7f8411c6eeaf51dc6706e8
1236.73281802,0xecf3abd1a9bd55d06768dde7deef3fd2a48c8e13
1050.3783282384559,0xef5ad662a5a42c3023e009035ee235082800b924
1043.3490309255635,0x92a0b2c089733bef43ac367d2ce7783526aea590
1003.4652184243502,0x918558df5a12ba43657222bbcf1a735494a5024f
1001.8317042686517,0xe58585b22cc2ac4270a2b92c2d2d8c5db5a3330e
980.999,0x41c9ef332b30c85b85b90455013eeed387e70c04
950.0233748494253,0xff1876a221c8c2be4d0a9289180db49b2fe26b98
938.07905884,0x30fe0d8d2d81ea568ff60b6e28ab74eb7e548cb0
922.6116976383134,0xfb9bf093a5943093fea6cb717d4909988a26489a
833.3299999999999,0x1855f41b8a86e701e33199de7c25d3e3830698ba
833.3299999999999,0x21b3b193b71680e2fafe40768c03a0fd305efa75
833.3299999999999,0xaac35d953ef23ae2e61a866ab93dea6ec0050bcd
800.0,0xb0623c91c65621df716ab8afe5f66656b21a9108
760.02280068,0xf665f2ed351696817898fe0ace20c5c1bc3c5796
714.6813998203108,0x200998f1c6bb56b100752c9334dd445c7d0740c3
703.32,0x39c7f73d9f45ecb84911211f745e3f20b6e53fe2
700.69774628,0xfe0b65c3acd3bdf1ecab242ac857f73424c55d58
635.670836354233,0xcf56cafba8c968a4dbcc83b83cde4a962386e8d7
570.89323359,0x0e2ac571b461e1b554b9a3181857716358b2ee4c
567.6962833932015,0x52298164ea3ae3b494fced890bc83e1692407b60
537.4016064,0x976e110b8577df0dabe9c9510e26733219de2bc6
534.5,0xa458e3cf88b7eef56349da1396f40ab9ee5cf9ed
527.2830817536925,0x64f8e38e19c1b6992969dcd5769c149951018af1
505.65479067,0x7eaf99f8f0385dee2280cf10509280487f973555
502.0,0xe289e7149a434d24e24302a81cc60f5d287dbe7b
501.0,0x6f544fee2ee3e08260bc473734dc94d546d7b3c5
460.0,0xbc5ec594509ed050f4a53eee85d92af6d2529b56
459.17948,0x182fcf35d9065375c0c74fccb13dffe912ca83b3
420.69060477259376,0xf762d658531a18f04d86b4410091e8ebae2880ae
410.6746965175316,0x7e1feb23c08bfe287f6d3350281029af0889502a
410.0026226097016,0x955369d1aa13dc25bc6fb9edc4bf9a5fb2f33701
402.9255172161115,0x11069c08dd30aa4c17d73b0e3984a433a0e39fda
400.592479,0xfbe2198e66ab4baf7bb08a12ab3a15850696a85c
400.0,0x5f31ff17b84f30a1039962c61762cc71b584d1d0
400.0,0x0a375977ff74814d022bd9ef824050893ee78473
400.0,0x9bdd3915882cc98fd9973c5ef71a3312965ae205
400.0,0xc2c37fb220ca9f40babcd12e40ce651088ff613f
400.0,0x26d3be736ab6b5d8a3266ffcc0895ddc1bc19a38
400.0,0x855374849c0b65471882fb638240fe5fcac556bc
400.0,0xe8bbe391340e0a3bf1ac13166c41266b65598ce9
400.0,0x84511ca923bdb5f4b6ecf7a5b147f58767bf6c8e
365.68046684,0xaf9727db19690208db9df2c9ebfd0ef891cd30c1
355.9697,0xcc0dc98ce0db0b73d27f9c496119c02d34f145b3
348.28283,0x6a8076e1b8fc43d5e07d03ba090d7a19e1cdafd1
332.0053567756568,0x54f38f4e33e47bd13e7a0f46ed7afad61a40bfc1
317.07572799114683,0x95a26811f45b2b7f442d23c4a6560473598af9c4
316.0960568154859,0xf4844a06d4f995c4c03195afcb5aa59dcbb5b4fc
314.69848264752363,0x786a4eb282a6332871e4bad890ce5960f1d12813
309.0,0x3c00c6757fd73306c56feb1cdcf6b2af33018cb5
302.756703392013,0xf96a23502c48b3c7ee053db35367ee9b7660f2f5
300.0,0x4507fe53c51ead6ad3a16c79186ebba53e8e51e6
300.0,0x9b5ecc4d2fb5908b8506bd04ec7b87aad2d96dd0
300.0,0x128e5625e15fdba91d6ccb1abdfdc62b5d152b4f
292.0,0x6b21745754ea67c56909b181638c34b8a2c13284
257.3382004090166,0x987137c02846b4c734d242acd847856338a32f40
250.00005805454882,0x40534e513df8277870b81e97b5107b3f39de4f15
249.4499,0x61fd0d043d519f5a2bd05785000f30db96809429
248.6949841453698,0x4029f1306bdefa6eb6a60083be5db48698787e3f
225.0,0x391cb9b2136b0821ef0c1af3b4b5fa92900f3f2a
221.7866903175212,0xae8ec0f2279440c23fa776696198679e4ddce0c7
220.0,0x87d617dbb2d58119a5be94aedd7f858d27f5bba7
209.6892536991851,0x3e3dc1dafe5fac278971bfe8b84a32a3f23ba0be
206.15600414277043,0x9b616ac1d31f17be9b23560d93699ca7732e2808
201.51119801742354,0xf3372b063931cd8eeb8b73ca24cce02d863e35c2
